

Python 3.12.5
['▁<', '|', 'endo', 'f', 'text', '|', '>']
[39, 19, 37, 35, 38, 19, 40]
['▁Before', '▁we', '▁pro', 'ce', 'ed', '▁any', '▁further', ',', '▁hear', '▁me', '▁speak', '.']
torch.Size([512, 128]) torch.Size([512, 128])
Step 4751/953240 - LR:0.0016 - train_loss: 2.330
Step 4761/953240 - LR:0.0017 - train_loss: 2.304
Step 4771/953240 - LR:0.0016 - train_loss: 2.292
Step 4781/953240 - LR:0.0017 - train_loss: 2.286
Step 4791/953240 - LR:0.0016 - train_loss: 2.336
Step 4801/953240 - LR:0.0017 - train_loss: 2.273
Step 4811/953240 - LR:0.0016 - train_loss: 2.305
Step 4821/953240 - LR:0.0017 - train_loss: 2.251
Step 4831/953240 - LR:0.0016 - train_loss: 2.277
Step 4841/953240 - LR:0.0017 - train_loss: 2.262
Step 4851/953240 - LR:0.0016 - train_loss: 2.312
Step 4861/953240 - LR:0.0017 - train_loss: 2.268
Step 4871/953240 - LR:0.0016 - train_loss: 2.294
Step 4881/953240 - LR:0.0017 - train_loss: 2.275
Step 4891/953240 - LR:0.0016 - train_loss: 2.310
Step 4901/953240 - LR:0.0017 - train_loss: 2.238
Step 4911/953240 - LR:0.0016 - train_loss: 2.248
Step 4921/953240 - LR:0.0017 - train_loss: 2.241
Step 4931/953240 - LR:0.0016 - train_loss: 2.244
Step 4941/953240 - LR:0.0017 - train_loss: 2.250
Step 4951/953240 - LR:0.0016 - train_loss: 2.246
Step 4961/953240 - LR:0.0017 - train_loss: 2.234
Step 4971/953240 - LR:0.0016 - train_loss: 2.234
Step 4981/953240 - LR:0.0017 - train_loss: 2.220
Step 4991/953240 - LR:0.0016 - train_loss: 2.247
Step 5001/953240 - LR:0.0017 - train_loss: 2.232


Epoch 2/2:

Step 1/953240 - LR:0.0003 - train_loss: 2.252
Step 11/953240 - LR:0.0030 - train_loss: 2.245
Step 21/953240 - LR:0.0003 - train_loss: 2.286
Step 31/953240 - LR:0.0030 - train_loss: 2.248
Step 41/953240 - LR:0.0003 - train_loss: 2.262
Step 51/953240 - LR:0.0030 - train_loss: 2.279
Step 61/953240 - LR:0.0003 - train_loss: 2.249
Step 71/953240 - LR:0.0030 - train_loss: 2.278
Step 81/953240 - LR:0.0003 - train_loss: 2.266
Step 91/953240 - LR:0.0030 - train_loss: 2.252
Step 101/953240 - LR:0.0003 - train_loss: 2.266
Step 111/953240 - LR:0.0030 - train_loss: 2.224
Step 121/953240 - LR:0.0003 - train_loss: 2.237
Step 131/953240 - LR:0.0030 - train_loss: 2.243
Step 141/953240 - LR:0.0003 - train_loss: 2.234
Step 151/953240 - LR:0.0030 - train_loss: 2.255
Step 161/953240 - LR:0.0003 - train_loss: 2.258
Step 171/953240 - LR:0.0030 - train_loss: 2.281
Step 181/953240 - LR:0.0003 - train_loss: 2.273
Step 191/953240 - LR:0.0030 - train_loss: 2.278
Step 201/953240 - LR:0.0003 - train_loss: 2.260
Step 211/953240 - LR:0.0030 - train_loss: 2.238
Step 221/953240 - LR:0.0003 - train_loss: 2.233
Step 231/953240 - LR:0.0030 - train_loss: 2.214
Step 241/953240 - LR:0.0003 - train_loss: 2.253
Step 251/953240 - LR:0.0030 - train_loss: 2.236
Step 261/953240 - LR:0.0003 - train_loss: 2.258
Step 271/953240 - LR:0.0030 - train_loss: 2.271
Step 281/953240 - LR:0.0003 - train_loss: 2.214
Step 291/953240 - LR:0.0030 - train_loss: 2.243
Step 301/953240 - LR:0.0003 - train_loss: 2.249
Step 311/953240 - LR:0.0030 - train_loss: 2.256
Step 321/953240 - LR:0.0003 - train_loss: 2.207
Step 331/953240 - LR:0.0030 - train_loss: 2.219
Step 341/953240 - LR:0.0003 - train_loss: 2.205
Step 351/953240 - LR:0.0030 - train_loss: 2.240
Step 361/953240 - LR:0.0003 - train_loss: 2.184
Step 371/953240 - LR:0.0030 - train_loss: 2.233
Step 381/953240 - LR:0.0003 - train_loss: 2.233
Step 391/953240 - LR:0.0030 - train_loss: 2.169
Step 401/953240 - LR:0.0003 - train_loss: 2.201
Step 411/953240 - LR:0.0030 - train_loss: 2.271
Step 421/953240 - LR:0.0003 - train_loss: 2.202
Step 431/953240 - LR:0.0030 - train_loss: 2.204
Step 441/953240 - LR:0.0003 - train_loss: 2.196
Step 451/953240 - LR:0.0030 - train_loss: 2.211
Step 461/953240 - LR:0.0003 - train_loss: 2.224
Step 471/953240 - LR:0.0030 - train_loss: 2.217
Step 481/953240 - LR:0.0003 - train_loss: 2.181
Step 491/953240 - LR:0.0030 - train_loss: 2.200
Step 501/953240 - LR:0.0003 - train_loss: 2.222
Step 511/953240 - LR:0.0030 - train_loss: 2.195
Step 521/953240 - LR:0.0003 - train_loss: 2.224
Step 531/953240 - LR:0.0030 - train_loss: 2.193
Step 541/953240 - LR:0.0003 - train_loss: 2.177
Step 551/953240 - LR:0.0030 - train_loss: 2.206
Step 561/953240 - LR:0.0003 - train_loss: 2.188
Step 571/953240 - LR:0.0030 - train_loss: 2.206
Step 581/953240 - LR:0.0003 - train_loss: 2.192
Step 591/953240 - LR:0.0030 - train_loss: 2.201
Step 601/953240 - LR:0.0003 - train_loss: 2.170
Step 611/953240 - LR:0.0030 - train_loss: 2.145
Step 621/953240 - LR:0.0003 - train_loss: 2.186
Step 631/953240 - LR:0.0030 - train_loss: 2.187
Step 641/953240 - LR:0.0003 - train_loss: 2.198
Step 651/953240 - LR:0.0030 - train_loss: 2.199
Step 661/953240 - LR:0.0003 - train_loss: 2.167
Step 671/953240 - LR:0.0030 - train_loss: 2.222
Step 681/953240 - LR:0.0003 - train_loss: 2.163
Step 691/953240 - LR:0.0030 - train_loss: 2.204
Step 701/953240 - LR:0.0003 - train_loss: 2.135
Step 711/953240 - LR:0.0030 - train_loss: 2.103
Step 721/953240 - LR:0.0003 - train_loss: 2.144
Step 731/953240 - LR:0.0030 - train_loss: 2.165
Step 741/953240 - LR:0.0003 - train_loss: 2.189
Step 751/953240 - LR:0.0030 - train_loss: 2.168
Step 761/953240 - LR:0.0003 - train_loss: 2.129
Step 771/953240 - LR:0.0030 - train_loss: 2.188
Step 781/953240 - LR:0.0003 - train_loss: 2.140
Step 791/953240 - LR:0.0030 - train_loss: 2.172
Step 801/953240 - LR:0.0003 - train_loss: 2.154
Step 811/953240 - LR:0.0030 - train_loss: 2.137
Step 821/953240 - LR:0.0003 - train_loss: 2.128
Step 831/953240 - LR:0.0030 - train_loss: 2.150
Step 841/953240 - LR:0.0003 - train_loss: 2.151
Step 851/953240 - LR:0.0030 - train_loss: 2.158
Step 861/953240 - LR:0.0003 - train_loss: 2.099
Step 871/953240 - LR:0.0030 - train_loss: 2.144
Step 881/953240 - LR:0.0003 - train_loss: 2.140
Step 891/953240 - LR:0.0030 - train_loss: 2.166
Step 901/953240 - LR:0.0003 - train_loss: 2.129
Step 911/953240 - LR:0.0030 - train_loss: 2.148
Step 921/953240 - LR:0.0003 - train_loss: 2.132
Step 931/953240 - LR:0.0030 - train_loss: 2.187
Step 941/953240 - LR:0.0003 - train_loss: 2.116
Step 951/953240 - LR:0.0030 - train_loss: 2.143
Step 961/953240 - LR:0.0003 - train_loss: 2.132
Step 971/953240 - LR:0.0030 - train_loss: 2.158
Step 981/953240 - LR:0.0003 - train_loss: 2.132
Step 991/953240 - LR:0.0030 - train_loss: 2.170
Step 1001/953240 - LR:0.0003 - train_loss: 2.190
Step 1011/953240 - LR:0.0030 - train_loss: 2.119
Step 1021/953240 - LR:0.0003 - train_loss: 2.137
Step 1031/953240 - LR:0.0030 - train_loss: 2.148
Step 1041/953240 - LR:0.0003 - train_loss: 2.133
Step 1051/953240 - LR:0.0030 - train_loss: 2.108
Step 1061/953240 - LR:0.0003 - train_loss: 2.135
Step 1071/953240 - LR:0.0030 - train_loss: 2.153
Step 1081/953240 - LR:0.0003 - train_loss: 2.169
Step 1091/953240 - LR:0.0030 - train_loss: 2.131
Step 1101/953240 - LR:0.0003 - train_loss: 2.143
Step 1111/953240 - LR:0.0030 - train_loss: 2.145
Step 1121/953240 - LR:0.0003 - train_loss: 2.101
Step 1131/953240 - LR:0.0030 - train_loss: 2.156
Step 1141/953240 - LR:0.0003 - train_loss: 2.117
Step 1151/953240 - LR:0.0030 - train_loss: 2.140
Step 1161/953240 - LR:0.0003 - train_loss: 2.104
Step 1171/953240 - LR:0.0030 - train_loss: 2.113
Step 1181/953240 - LR:0.0003 - train_loss: 2.115
Step 1191/953240 - LR:0.0030 - train_loss: 2.134
Step 1201/953240 - LR:0.0003 - train_loss: 2.128
Step 1211/953240 - LR:0.0030 - train_loss: 2.136
Step 1221/953240 - LR:0.0003 - train_loss: 2.089
Step 1231/953240 - LR:0.0030 - train_loss: 2.106
Step 1241/953240 - LR:0.0003 - train_loss: 2.114
Step 1251/953240 - LR:0.0030 - train_loss: 2.123
Step 1261/953240 - LR:0.0003 - train_loss: 2.123
Step 1271/953240 - LR:0.0030 - train_loss: 2.125
Step 1281/953240 - LR:0.0003 - train_loss: 2.117
Step 1291/953240 - LR:0.0030 - train_loss: 2.138
Step 1301/953240 - LR:0.0003 - train_loss: 2.112
Step 1311/953240 - LR:0.0030 - train_loss: 2.099
Step 1321/953240 - LR:0.0003 - train_loss: 2.095
Step 1331/953240 - LR:0.0030 - train_loss: 2.118
Step 1341/953240 - LR:0.0003 - train_loss: 2.075
Step 1351/953240 - LR:0.0030 - train_loss: 2.143
Step 1361/953240 - LR:0.0003 - train_loss: 2.094
Step 1371/953240 - LR:0.0030 - train_loss: 2.100
Step 1381/953240 - LR:0.0003 - train_loss: 2.109
Step 1391/953240 - LR:0.0030 - train_loss: 2.088
Step 1401/953240 - LR:0.0003 - train_loss: 2.115
Step 1411/953240 - LR:0.0030 - train_loss: 2.142
Step 1421/953240 - LR:0.0003 - train_loss: 2.053
Step 1431/953240 - LR:0.0030 - train_loss: 2.086
Step 1441/953240 - LR:0.0003 - train_loss: 2.140
Step 1451/953240 - LR:0.0030 - train_loss: 2.084
Step 1461/953240 - LR:0.0003 - train_loss: 2.104
Step 1471/953240 - LR:0.0030 - train_loss: 2.091
Step 1481/953240 - LR:0.0003 - train_loss: 2.091
Step 1491/953240 - LR:0.0030 - train_loss: 2.066
Step 1501/953240 - LR:0.0003 - train_loss: 2.097
Step 1511/953240 - LR:0.0030 - train_loss: 2.061
Step 1521/953240 - LR:0.0003 - train_loss: 2.067
Step 1531/953240 - LR:0.0030 - train_loss: 2.056
Step 1541/953240 - LR:0.0003 - train_loss: 2.071
Step 1551/953240 - LR:0.0030 - train_loss: 2.095
Step 1561/953240 - LR:0.0003 - train_loss: 2.066
Step 1571/953240 - LR:0.0030 - train_loss: 2.090
Step 1581/953240 - LR:0.0003 - train_loss: 2.109
Step 1591/953240 - LR:0.0030 - train_loss: 2.069
Step 1601/953240 - LR:0.0003 - train_loss: 2.080
Step 1611/953240 - LR:0.0030 - train_loss: 2.090
Step 1621/953240 - LR:0.0003 - train_loss: 2.117
Step 1631/953240 - LR:0.0030 - train_loss: 2.101
Step 1641/953240 - LR:0.0003 - train_loss: 2.068
Step 1651/953240 - LR:0.0030 - train_loss: 2.091
Step 1661/953240 - LR:0.0003 - train_loss: 2.046
Step 1671/953240 - LR:0.0030 - train_loss: 2.078
Step 1681/953240 - LR:0.0003 - train_loss: 2.089
Step 1691/953240 - LR:0.0030 - train_loss: 2.106
Step 1701/953240 - LR:0.0003 - train_loss: 2.059
Step 1711/953240 - LR:0.0030 - train_loss: 2.080
Step 1721/953240 - LR:0.0003 - train_loss: 2.067
Step 1731/953240 - LR:0.0030 - train_loss: 2.073
Step 1741/953240 - LR:0.0003 - train_loss: 2.072
Step 1751/953240 - LR:0.0030 - train_loss: 2.077
Step 1761/953240 - LR:0.0003 - train_loss: 2.077
Step 1771/953240 - LR:0.0030 - train_loss: 2.086
Step 1781/953240 - LR:0.0003 - train_loss: 2.040
Step 1791/953240 - LR:0.0030 - train_loss: 2.078
Step 1801/953240 - LR:0.0003 - train_loss: 2.081
Step 1811/953240 - LR:0.0030 - train_loss: 2.031
Step 1821/953240 - LR:0.0003 - train_loss: 2.050
Step 1831/953240 - LR:0.0030 - train_loss: 2.077
Step 1841/953240 - LR:0.0003 - train_loss: 2.060
Step 1851/953240 - LR:0.0030 - train_loss: 2.068
Step 1861/953240 - LR:0.0003 - train_loss: 2.070
Step 1871/953240 - LR:0.0030 - train_loss: 2.067
Step 1881/953240 - LR:0.0003 - train_loss: 2.059
Step 1891/953240 - LR:0.0030 - train_loss: 2.053
Step 1901/953240 - LR:0.0003 - train_loss: 2.051
Step 1911/953240 - LR:0.0030 - train_loss: 2.066
Step 1921/953240 - LR:0.0003 - train_loss: 2.068
Step 1931/953240 - LR:0.0030 - train_loss: 2.047
Step 1941/953240 - LR:0.0003 - train_loss: 2.018
Step 1951/953240 - LR:0.0030 - train_loss: 2.051
Step 1961/953240 - LR:0.0003 - train_loss: 2.022
Step 1971/953240 - LR:0.0030 - train_loss: 2.084
Step 1981/953240 - LR:0.0003 - train_loss: 2.069
Step 1991/953240 - LR:0.0030 - train_loss: 2.045
Step 2001/953240 - LR:0.0003 - train_loss: 2.050
Step 2011/953240 - LR:0.0030 - train_loss: 2.040
Step 2021/953240 - LR:0.0003 - train_loss: 2.066
Step 2031/953240 - LR:0.0030 - train_loss: 2.061
Step 2041/953240 - LR:0.0003 - train_loss: 2.033
Step 2051/953240 - LR:0.0030 - train_loss: 2.072
Step 2061/953240 - LR:0.0003 - train_loss: 2.042
Step 2071/953240 - LR:0.0030 - train_loss: 2.058
Step 2081/953240 - LR:0.0003 - train_loss: 2.063
Step 2091/953240 - LR:0.0030 - train_loss: 2.063
Step 2101/953240 - LR:0.0003 - train_loss: 2.059
Step 2111/953240 - LR:0.0030 - train_loss: 2.009
Step 2121/953240 - LR:0.0003 - train_loss: 2.048
Step 2131/953240 - LR:0.0030 - train_loss: 2.048
Step 2141/953240 - LR:0.0003 - train_loss: 2.050
Step 2151/953240 - LR:0.0030 - train_loss: 2.035
Step 2161/953240 - LR:0.0003 - train_loss: 2.047
Step 2171/953240 - LR:0.0030 - train_loss: 2.059
Step 2181/953240 - LR:0.0003 - train_loss: 2.079
Step 2191/953240 - LR:0.0030 - train_loss: 2.091
Step 2201/953240 - LR:0.0003 - train_loss: 2.068
Step 2211/953240 - LR:0.0030 - train_loss: 2.052
Step 2221/953240 - LR:0.0003 - train_loss: 2.043
Step 2231/953240 - LR:0.0030 - train_loss: 2.025
Step 2241/953240 - LR:0.0003 - train_loss: 2.060
Step 2251/953240 - LR:0.0030 - train_loss: 2.022
Step 2261/953240 - LR:0.0003 - train_loss: 2.026
Step 2271/953240 - LR:0.0030 - train_loss: 2.045
Step 2281/953240 - LR:0.0003 - train_loss: 2.045
Step 2291/953240 - LR:0.0030 - train_loss: 2.027
Step 2301/953240 - LR:0.0003 - train_loss: 2.029
Step 2311/953240 - LR:0.0030 - train_loss: 2.048
Step 2321/953240 - LR:0.0003 - train_loss: 2.066
Step 2331/953240 - LR:0.0030 - train_loss: 2.042
Step 2341/953240 - LR:0.0003 - train_loss: 2.048
Step 2351/953240 - LR:0.0030 - train_loss: 2.015
Step 2361/953240 - LR:0.0003 - train_loss: 2.019
Step 2371/953240 - LR:0.0030 - train_loss: 2.037
Step 2381/953240 - LR:0.0003 - train_loss: 2.040
Step 2391/953240 - LR:0.0030 - train_loss: 2.022
Step 2401/953240 - LR:0.0003 - train_loss: 2.051
Step 2411/953240 - LR:0.0030 - train_loss: 2.025
Step 2421/953240 - LR:0.0003 - train_loss: 2.041
Step 2431/953240 - LR:0.0030 - train_loss: 2.028
Step 2441/953240 - LR:0.0003 - train_loss: 1.998
Step 2451/953240 - LR:0.0030 - train_loss: 2.020
Step 2461/953240 - LR:0.0003 - train_loss: 2.047
Step 2471/953240 - LR:0.0030 - train_loss: 1.986
Step 2481/953240 - LR:0.0003 - train_loss: 2.027
Step 2491/953240 - LR:0.0030 - train_loss: 2.046
Step 2501/953240 - LR:0.0003 - train_loss: 2.007
Step 2511/953240 - LR:0.0030 - train_loss: 2.041
Step 2521/953240 - LR:0.0003 - train_loss: 2.041
Step 2531/953240 - LR:0.0030 - train_loss: 2.048
Step 2541/953240 - LR:0.0003 - train_loss: 2.036
Step 2551/953240 - LR:0.0030 - train_loss: 2.002
Step 2561/953240 - LR:0.0003 - train_loss: 2.056
Step 2571/953240 - LR:0.0030 - train_loss: 1.985
Step 2581/953240 - LR:0.0003 - train_loss: 1.986
Step 2591/953240 - LR:0.0030 - train_loss: 2.027
Step 2601/953240 - LR:0.0003 - train_loss: 2.009
Step 2611/953240 - LR:0.0030 - train_loss: 2.026
Step 2621/953240 - LR:0.0003 - train_loss: 2.028
Step 2631/953240 - LR:0.0030 - train_loss: 2.045
Step 2641/953240 - LR:0.0003 - train_loss: 2.005
Step 2651/953240 - LR:0.0030 - train_loss: 1.974
Step 2661/953240 - LR:0.0003 - train_loss: 2.002
Step 2671/953240 - LR:0.0030 - train_loss: 2.035
Step 2681/953240 - LR:0.0003 - train_loss: 2.029
Step 2691/953240 - LR:0.0030 - train_loss: 2.050
Step 2701/953240 - LR:0.0003 - train_loss: 2.010
Step 2711/953240 - LR:0.0030 - train_loss: 2.047
Step 2721/953240 - LR:0.0003 - train_loss: 2.025
Step 2731/953240 - LR:0.0030 - train_loss: 2.041
Step 2741/953240 - LR:0.0003 - train_loss: 2.032
Step 2751/953240 - LR:0.0030 - train_loss: 2.004
Step 2761/953240 - LR:0.0003 - train_loss: 1.994
Step 2771/953240 - LR:0.0030 - train_loss: 2.004
Step 2781/953240 - LR:0.0003 - train_loss: 2.019
Step 2791/953240 - LR:0.0030 - train_loss: 2.036
Step 2801/953240 - LR:0.0003 - train_loss: 2.044
Step 2811/953240 - LR:0.0030 - train_loss: 2.059
Step 2821/953240 - LR:0.0003 - train_loss: 2.017
Step 2831/953240 - LR:0.0030 - train_loss: 2.009
Step 2841/953240 - LR:0.0003 - train_loss: 2.064
Step 2851/953240 - LR:0.0030 - train_loss: 2.000
Step 2861/953240 - LR:0.0003 - train_loss: 2.019
Step 2871/953240 - LR:0.0030 - train_loss: 2.042
Step 2881/953240 - LR:0.0003 - train_loss: 2.004
Step 2891/953240 - LR:0.0030 - train_loss: 1.969
Step 2901/953240 - LR:0.0003 - train_loss: 2.027
Step 2911/953240 - LR:0.0030 - train_loss: 1.995
Step 2921/953240 - LR:0.0003 - train_loss: 1.998
Step 2931/953240 - LR:0.0030 - train_loss: 2.010
Step 2941/953240 - LR:0.0003 - train_loss: 1.997
Step 2951/953240 - LR:0.0030 - train_loss: 1.983
Step 2961/953240 - LR:0.0003 - train_loss: 1.997
Step 2971/953240 - LR:0.0030 - train_loss: 2.000
Step 2981/953240 - LR:0.0003 - train_loss: 2.011
Step 2991/953240 - LR:0.0030 - train_loss: 2.008
Step 3001/953240 - LR:0.0003 - train_loss: 1.983
Step 3011/953240 - LR:0.0030 - train_loss: 2.018
Step 3021/953240 - LR:0.0003 - train_loss: 1.961
Step 3031/953240 - LR:0.0030 - train_loss: 2.011
Step 3041/953240 - LR:0.0003 - train_loss: 2.006
Step 3051/953240 - LR:0.0030 - train_loss: 1.982
Step 3061/953240 - LR:0.0003 - train_loss: 1.978
Step 3071/953240 - LR:0.0030 - train_loss: 2.024
Step 3081/953240 - LR:0.0003 - train_loss: 1.986
Step 3091/953240 - LR:0.0030 - train_loss: 1.992
Step 3101/953240 - LR:0.0003 - train_loss: 1.997
Step 3111/953240 - LR:0.0030 - train_loss: 1.998
Step 3121/953240 - LR:0.0003 - train_loss: 1.968
Step 3131/953240 - LR:0.0030 - train_loss: 1.972
Step 3141/953240 - LR:0.0003 - train_loss: 2.015
Step 3151/953240 - LR:0.0030 - train_loss: 1.981
Step 3161/953240 - LR:0.0003 - train_loss: 1.965
Step 3171/953240 - LR:0.0030 - train_loss: 1.957
Step 3181/953240 - LR:0.0003 - train_loss: 1.955
Step 3191/953240 - LR:0.0030 - train_loss: 1.969
Step 3201/953240 - LR:0.0003 - train_loss: 1.972
Step 3211/953240 - LR:0.0030 - train_loss: 2.000
Step 3221/953240 - LR:0.0003 - train_loss: 1.965
Step 3231/953240 - LR:0.0030 - train_loss: 1.978
Step 3241/953240 - LR:0.0003 - train_loss: 2.008
Step 3251/953240 - LR:0.0030 - train_loss: 1.984
Step 3261/953240 - LR:0.0003 - train_loss: 1.978
Step 3271/953240 - LR:0.0030 - train_loss: 1.967
Step 3281/953240 - LR:0.0003 - train_loss: 1.963
Step 3291/953240 - LR:0.0030 - train_loss: 1.980
Step 3301/953240 - LR:0.0003 - train_loss: 1.970
Step 3311/953240 - LR:0.0030 - train_loss: 1.959
Step 3321/953240 - LR:0.0003 - train_loss: 1.979
Step 3331/953240 - LR:0.0030 - train_loss: 1.964
Step 3341/953240 - LR:0.0003 - train_loss: 2.002
Step 3351/953240 - LR:0.0030 - train_loss: 1.989
Step 3361/953240 - LR:0.0003 - train_loss: 1.961
Step 3371/953240 - LR:0.0030 - train_loss: 1.970
Step 3381/953240 - LR:0.0003 - train_loss: 1.968
Step 3391/953240 - LR:0.0030 - train_loss: 1.960
Step 3401/953240 - LR:0.0003 - train_loss: 1.967
Step 3411/953240 - LR:0.0030 - train_loss: 1.987
Step 3421/953240 - LR:0.0003 - train_loss: 1.969
Step 3431/953240 - LR:0.0030 - train_loss: 1.922
Step 3441/953240 - LR:0.0003 - train_loss: 1.967
Step 3451/953240 - LR:0.0030 - train_loss: 1.982
Step 3461/953240 - LR:0.0003 - train_loss: 1.984
Step 3471/953240 - LR:0.0030 - train_loss: 1.948
Step 3481/953240 - LR:0.0003 - train_loss: 1.982
Step 3491/953240 - LR:0.0030 - train_loss: 2.004
Step 3501/953240 - LR:0.0003 - train_loss: 1.978
Step 3511/953240 - LR:0.0030 - train_loss: 1.956
Step 3521/953240 - LR:0.0003 - train_loss: 1.970
Step 3531/953240 - LR:0.0030 - train_loss: 1.965
Step 3541/953240 - LR:0.0003 - train_loss: 1.944
Step 3551/953240 - LR:0.0030 - train_loss: 1.925
Step 3561/953240 - LR:0.0003 - train_loss: 1.999
Step 3571/953240 - LR:0.0030 - train_loss: 1.963
Step 3581/953240 - LR:0.0003 - train_loss: 1.973
Step 3591/953240 - LR:0.0030 - train_loss: 2.014
Step 3601/953240 - LR:0.0003 - train_loss: 1.985
Step 3611/953240 - LR:0.0030 - train_loss: 1.985
Step 3621/953240 - LR:0.0003 - train_loss: 1.981
Step 3631/953240 - LR:0.0030 - train_loss: 1.993
Step 3641/953240 - LR:0.0003 - train_loss: 1.970
Step 3651/953240 - LR:0.0030 - train_loss: 1.967
Step 3661/953240 - LR:0.0003 - train_loss: 1.969
Step 3671/953240 - LR:0.0030 - train_loss: 1.975
Step 3681/953240 - LR:0.0003 - train_loss: 1.972
Step 3691/953240 - LR:0.0030 - train_loss: 1.995
Step 3701/953240 - LR:0.0003 - train_loss: 1.988
Step 3711/953240 - LR:0.0030 - train_loss: 1.985
Step 3721/953240 - LR:0.0003 - train_loss: 1.974
Step 3731/953240 - LR:0.0030 - train_loss: 1.990
Step 3741/953240 - LR:0.0003 - train_loss: 1.985
Step 3751/953240 - LR:0.0030 - train_loss: 1.966
Step 3761/953240 - LR:0.0003 - train_loss: 1.963
Step 3771/953240 - LR:0.0030 - train_loss: 1.960
Step 3781/953240 - LR:0.0003 - train_loss: 1.961
Step 3791/953240 - LR:0.0030 - train_loss: 2.002
Step 3801/953240 - LR:0.0003 - train_loss: 1.959
Step 3811/953240 - LR:0.0030 - train_loss: 1.949
Step 3821/953240 - LR:0.0003 - train_loss: 1.931
Step 3831/953240 - LR:0.0030 - train_loss: 1.962
Step 3841/953240 - LR:0.0003 - train_loss: 1.969
Step 3851/953240 - LR:0.0030 - train_loss: 1.975
Step 3861/953240 - LR:0.0003 - train_loss: 1.954
Step 3871/953240 - LR:0.0030 - train_loss: 1.967
Step 3881/953240 - LR:0.0003 - train_loss: 1.935
Step 3891/953240 - LR:0.0030 - train_loss: 1.962
Step 3901/953240 - LR:0.0003 - train_loss: 1.957
Step 3911/953240 - LR:0.0030 - train_loss: 1.938
Step 3921/953240 - LR:0.0003 - train_loss: 1.965
Step 3931/953240 - LR:0.0030 - train_loss: 1.950
Step 3941/953240 - LR:0.0003 - train_loss: 1.942
Step 3951/953240 - LR:0.0030 - train_loss: 1.922
Step 3961/953240 - LR:0.0003 - train_loss: 1.989
Step 3971/953240 - LR:0.0030 - train_loss: 1.929
Step 3981/953240 - LR:0.0003 - train_loss: 1.957
Step 3991/953240 - LR:0.0030 - train_loss: 1.970
Step 4001/953240 - LR:0.0003 - train_loss: 1.967
Step 4011/953240 - LR:0.0030 - train_loss: 1.949
Step 4021/953240 - LR:0.0003 - train_loss: 1.928
Step 4031/953240 - LR:0.0030 - train_loss: 1.948
Step 4041/953240 - LR:0.0003 - train_loss: 1.938
Step 4051/953240 - LR:0.0030 - train_loss: 1.942
Step 4061/953240 - LR:0.0003 - train_loss: 1.971
Step 4071/953240 - LR:0.0030 - train_loss: 1.965
Step 4081/953240 - LR:0.0003 - train_loss: 1.990
Step 4091/953240 - LR:0.0030 - train_loss: 1.947
Step 4101/953240 - LR:0.0003 - train_loss: 1.932
Step 4111/953240 - LR:0.0030 - train_loss: 1.953
Step 4121/953240 - LR:0.0003 - train_loss: 1.963
Step 4131/953240 - LR:0.0030 - train_loss: 1.954
Step 4141/953240 - LR:0.0003 - train_loss: 1.924
Step 4151/953240 - LR:0.0030 - train_loss: 1.913
Step 4161/953240 - LR:0.0003 - train_loss: 1.960
Step 4171/953240 - LR:0.0030 - train_loss: 1.957
Step 4181/953240 - LR:0.0003 - train_loss: 1.948
Step 4191/953240 - LR:0.0030 - train_loss: 1.954
Step 4201/953240 - LR:0.0003 - train_loss: 1.966
Step 4211/953240 - LR:0.0030 - train_loss: 1.959
Step 4221/953240 - LR:0.0003 - train_loss: 1.944
Step 4231/953240 - LR:0.0030 - train_loss: 1.935
Step 4241/953240 - LR:0.0003 - train_loss: 1.995
Step 4251/953240 - LR:0.0030 - train_loss: 1.958
Step 4261/953240 - LR:0.0003 - train_loss: 1.999
Step 4271/953240 - LR:0.0030 - train_loss: 1.959
Step 4281/953240 - LR:0.0003 - train_loss: 1.969
Step 4291/953240 - LR:0.0030 - train_loss: 1.954
Step 4301/953240 - LR:0.0003 - train_loss: 1.958
Step 4311/953240 - LR:0.0030 - train_loss: 1.975
Step 4321/953240 - LR:0.0003 - train_loss: 1.947
Step 4331/953240 - LR:0.0030 - train_loss: 1.965
Step 4341/953240 - LR:0.0003 - train_loss: 1.960
Step 4351/953240 - LR:0.0030 - train_loss: 1.950
Step 4361/953240 - LR:0.0003 - train_loss: 1.958
Step 4371/953240 - LR:0.0030 - train_loss: 1.951
Step 4381/953240 - LR:0.0003 - train_loss: 1.918
Step 4391/953240 - LR:0.0030 - train_loss: 1.935
Step 4401/953240 - LR:0.0003 - train_loss: 1.974
Step 4411/953240 - LR:0.0030 - train_loss: 1.912
Step 4421/953240 - LR:0.0003 - train_loss: 1.931
Step 4431/953240 - LR:0.0030 - train_loss: 1.912
Step 4441/953240 - LR:0.0003 - train_loss: 1.955
Step 4451/953240 - LR:0.0030 - train_loss: 1.949
Step 4461/953240 - LR:0.0003 - train_loss: 1.943
Step 4471/953240 - LR:0.0030 - train_loss: 1.916
Step 4481/953240 - LR:0.0003 - train_loss: 1.950
Step 4491/953240 - LR:0.0030 - train_loss: 1.947
Step 4501/953240 - LR:0.0003 - train_loss: 1.923
Step 4511/953240 - LR:0.0030 - train_loss: 1.929
Step 4521/953240 - LR:0.0003 - train_loss: 1.952
Step 4531/953240 - LR:0.0030 - train_loss: 1.952
